Latitude,Longitude,Positive,Negative,Mixed,Neutral,Count,Sentiment
35,-79,0.307744326,0.142613981,0.009466832,0.540174868,40,NEUTRAL
35,-78,0.283380901,0.120738267,0.018938142,0.576942678,31,NEUTRAL
35,-77,0.114810854,0.221064859,0.011727005,0.652397285,40,NEUTRAL
35,-76,0.146685247,0.243320249,0.027551951,0.582442554,555,NEUTRAL
37,-99,0.019287564,0.030263184,2.03E-05,0.950428933,2,NEUTRAL
37,-98,0.030061171,0.382445895,0.12387387,0.463619035,5,NEUTRAL
37,-97,0.032143844,0.555251169,0.019215839,0.393389167,6,NEGATIVE
37,-96,0.22620096,0.22060408,0.02116528,0.532029679,34,NEUTRAL
37,-95,0.156268823,0.133240449,0.007176763,0.703313968,39,NEUTRAL
37,-94,0.173572851,0.204700261,0.006172464,0.615554428,39,NEUTRAL
37,-93,0.206349014,0.166978413,0.012812047,0.613860508,40,NEUTRAL
37,-92,0.020548434,0.340178279,0.03057272,0.608700555,8,NEUTRAL
37,-91,0.015160208,0.413422341,0.067423325,0.503994104,6,NEUTRAL
37,-90,0.06521378,0.35506876,0.039129914,0.540587549,40,NEUTRAL
37,-89,0.070356163,0.219775532,0.047520634,0.66234767,40,NEUTRAL
37,-88,0.116040786,0.14429128,0.023327425,0.716340508,40,NEUTRAL
37,-87,0.16451527,0.203220246,0.015758122,0.616506348,40,NEUTRAL
37,-86,0.178267828,0.142479048,0.031169257,0.648083863,40,NEUTRAL
37,-85,0.13900984,0.303850891,0.013348989,0.543790269,40,NEUTRAL
37,-84,0.101254839,0.276832658,0.010875708,0.611036789,39,NEUTRAL
37,-83,0.2499749,0.125250028,0.053931145,0.570843899,40,NEUTRAL
37,-82,0.180515693,0.261816721,0.014761226,0.542906355,40,NEUTRAL
37,-81,0.175431389,0.217466682,0.028683217,0.578418718,40,NEUTRAL
37,-80,0.105931886,0.145545017,0.035837134,0.712685965,40,NEUTRAL
37,-79,0.089531572,0.212177691,0.004966457,0.693324271,40,NEUTRAL
37,-78,0.068580565,0.196734296,0.009067534,0.725617596,40,NEUTRAL
37,-77,0.278653959,0.113875839,0.006320115,0.601150115,40,NEUTRAL
37,-76,0.150744047,0.300059953,0.020717638,0.528478355,355,NEUTRAL
38,-99,0.579270119,0.088046946,0.122756235,0.209926693,8,POSITIVE
38,-98,0.097884301,0.133561558,0.003403981,0.765150145,29,NEUTRAL
38,-97,0.227181377,0.167078545,0.008488484,0.597251598,40,NEUTRAL
38,-96,0.137392702,0.268021561,0.079509987,0.515075741,7,NEUTRAL
38,-95,0.204716893,0.218288248,0.018610027,0.55838483,40,NEUTRAL
38,-94,0.190576924,0.198700719,0.014518753,0.596203608,40,NEUTRAL
38,-93,0.239229191,0.223838914,0.019000509,0.517931388,40,NEUTRAL
38,-92,0.052834667,0.146993033,0.011208673,0.788963605,40,NEUTRAL
38,-91,0.024359013,0.132989802,0.006124866,0.836526298,32,NEUTRAL
38,-90,0.108916938,0.33319227,0.025509613,0.532381181,34,NEUTRAL
38,-89,0.133302157,0.264521399,0.03256758,0.569608854,40,NEUTRAL
38,-88,0.128403262,0.251350628,0.019470781,0.60077535,40,NEUTRAL
38,-87,0.178368747,0.276279278,0.0048397,0.540512279,40,NEUTRAL
38,-86,0.052972853,0.161128175,0.012772942,0.773126007,40,NEUTRAL
38,-85,0.400744152,0.166474133,0.021253217,0.411528515,40,NEUTRAL
38,-84,0.309350637,0.17341678,0.036655409,0.48057718,40,NEUTRAL
38,-83,0.138158898,0.392268164,0.042113969,0.427458981,36,NEUTRAL
38,-82,0.07270341,0.115494392,0.023959328,0.787842871,40,NEUTRAL
38,-81,0.125798093,0.269499617,0.032933807,0.571768487,38,NEUTRAL
38,-80,0.204320282,0.341802955,0.012150168,0.441726608,40,NEUTRAL
38,-79,0.19309567,0.248796844,0.008770522,0.549336965,40,NEUTRAL
38,-78,0.178986548,0.295907194,0.044659828,0.480446438,40,NEUTRAL
38,-77,0.10718555,0.119689814,0.014363247,0.758761396,40,NEUTRAL
38,-76,0.10718555,0.119689814,0.014363247,0.758761396,40,NEUTRAL
38,-75,0.042809896,0.151696324,0.002756826,0.802736964,40,NEUTRAL
38,-71,0.128224671,0.258094206,0.02996191,0.583719202,468,NEUTRAL
39,-99,0.01615287,0.36377688,0.005437939,0.614632331,11,NEUTRAL
39,-98,0.085323466,0.364703134,0.015716642,0.534256785,12,NEUTRAL
39,-97,0.298814581,0.195351429,0.0144554,0.491378593,40,NEUTRAL
39,-96,0.34103046,0.167462466,0.023687846,0.467819229,40,NEUTRAL
39,-95,0.181746183,0.367692225,0.062203786,0.388357812,39,NEUTRAL
39,-94,0.191612839,0.283909153,0.050833383,0.473644635,38,NEUTRAL
39,-93,0.11221063,0.098315057,0.014541917,0.77493238,40,NEUTRAL
39,-92,0.035059297,0.32766374,0.022825822,0.614451148,40,NEUTRAL
39,-91,0.217301548,0.235565272,0.021642563,0.525490623,34,NEUTRAL
